University,CV_team_name,link
Vasavi College of Engineering,Blitz Racing,https://tid.fsg.one/994
Vidya Jyothi Institute of Technology,V1 RACING TEAM,https://tid.fsg.one/645
VNR Vignana Jyothi Institute of Engineering and Technology,FSAE VNRVJIET,https://tid.fsg.one/417
DKTE Society's Textile and Engineering Institute,Trident Racing,https://tid.fsg.one/1191
Acropolis Technical Campus Indore,Acro-Racerz,https://tid.fsg.one/614
Medi-Caps University,MECHASONICS,https://tid.fsg.one/826
Shri G.S. Institute of Technology and Science Indore,GS Motorsports,https://tid.fsg.one/524
Jaipur Engineering College and Research Centre,Moonriders,https://tid.fsg.one/380
National Institute of Technology - Jalandhar,Perianth Racing,https://tid.fsg.one/1270
National Institute of Technology - Jamshedpur,WRL-Combustion,https://fs-world.org/p2.php?u=697&c=1
Indian Institute of Technology Kanpur,IITK Motorsports,https://tid.fsg.one/323
Indian Institute of Technology Kharagpur,Team KART,https://tid.fsg.one/915
"D. Y. Patil College of Engineering & Technology, Kasaba Bawada, Kolhapur ",DYP Motorsports,https://tid.fsg.one/1001
Shivaji University,Elite Racers,https://tid.fsg.one/286
TKM  College of Engineering,xlr8racing,https://tid.fsg.one/1115
MCT's Rajiv Gandhi Institute of Technology (Kottayam),WRL-Combustion,https://fs-world.org/p2.php?u=671&c=1
National Institute of Technology - Kurukshetra,Team Accelerons,https://tid.fsg.one/653
Malout Instiue Of Management And Information Technology,MALWA RACINGs,https://tid.fsg.one/693
National Institute of Technology - Karnataka (Mangalore),NITKRacing,https://tid.fsg.one/996
Mangalore Institute of Technology and Engineering,Formula MITE Racing,https://tid.fsg.one/1012
Sahyadri College of Engineering & Management (Manglore),Formula Sahyadri,https://tid.fsg.one/1101
Manipal Academy of Higher Education,Formula Manipal,https://tid.fsg.one/194
"SRM Institute of Science and Technology, NCR Campus",AeroX Motorsports,https://tid.fsg.one/901
Chandigarh University (Mohali),Indominus Motorsport,https://tid.fsg.one/849
Dwarkadas. J. Sanghvi College of Engineering (Mumbai),DJS Racing,https://tid.fsg.one/574
Fr Conceicao Rodrigues College of Engineering,Team CRCE Formula Racing,https://tid.fsg.one/846
